number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
11,3,1,1,0,1,295
2,2,1,0,1,0,70
0,2,2,0,0,0,58
87,3,1,267,0,1,75
13,5,1,0,2,0,38
3,30,31,270,1,1,100
1,7,1,43,1,1,260
42,1,1,4,1,1,147
0,1,1,0,0,0,34
0,1,1,0,0,0,65
6,30,9,150,1,1,125
0,30,65,338,1,1,310
0,1,5,329,0,0,50
4,1,1,0,1,0,79
1,30,2,63,0,1,329
0,1,2,170,2,0,115
3,3,1,0,0,1,140
95,3,2,112,0,1,225
0,1,5,281,1,0,149
7,2,1,124,0,0,50
0,30,7,364,1,0,88
1,2,1,0,2,1,200
4,14,1,0,0,1,160
51,2,1,89,0,1,125
14,4,3,0,1,0,75
5,2,1,57,2,0,80
1,2,1,0,0,1,140
15,2,1,41,0,1,134
1,10,1,0,0,0,65
7,30,52,327,0,1,159
16,2,1,52,1,1,300
0,1,1,180,2,0,95
0,15,1,0,1,0,70
58,2,6,199,0,1,248
1,1,5,364,1,1,750
3,2,1,0,0,0,90
5,30,8,161,0,1,80
0,7,1,67,1,1,85
3,3,1,0,0,0,50
4,2,1,0,0,1,295
0,14,1,0,1,0,80
0,3,1,0,1,0,109
16,3,1,0,1,0,100
27,2,1,339,0,0,45
38,3,1,243,2,1,135
9,4,3,124,4,1,115
7,5,1,341,1,0,185
3,3,1,42,0,1,150
0,30,232,312,1,1,290
5,1,2,0,0,0,80
26,1,3,0,0,0,65
3,31,2,242,0,0,45
127,1,1,7,0,1,80
5,1,3,365,2,0,75
15,7,1,213,1,0,69
28,4,1,0,2,0,65
0,4,1,0,0,0,60
3,3,1,0,1,1,195
19,15,3,106,1,0,69
2,5,1,0,2,1,160
12,3,1,0,0,1,150
0,1,2,0,1,0,250
0,3,1,0,0,1,90
4,2,1,129,1,1,235
0,1,7,230,1,0,100
0,1,1,15,1,1,239
0,1,1,32,1,1,65
19,3,1,228,4,1,115
30,1,1,282,2,1,60
1,7,1,173,0,0,60
0,14,1,0,1,0,45
2,1,1,0,1,1,300
9,5,2,0,2,0,35
5,4,4,98,0,0,69
5,30,1,301,1,1,198
3,5,1,0,1,1,100
47,2,4,249,4,0,60
0,1,1,179,0,0,225
19,2,4,328,0,1,325
9,2,1,286,1,1,350
0,1,1,0,0,0,45
2,6,1,341,1,1,200
45,4,1,190,0,1,100
64,2,1,194,0,1,125
5,2,3,365,0,0,68
47,5,2,91,0,1,115
2,3,1,36,0,0,55
1,15,1,0,2,1,65
3,5,1,9,1,1,300
52,3,1,3,1,1,100
98,3,1,278,1,0,98
3,1,1,0,0,1,100
0,2,1,5,1,1,165
4,7,1,95,0,0,55
0,1,1,363,4,0,149
6,2,4,0,1,0,102
52,1,4,355,1,0,85
15,1,1,179,0,0,89
26,2,1,74,0,0,45
3,4,1,0,1,1,299
1,30,1,0,2,1,130
88,14,1,176,1,0,93
4,2,1,0,1,1,210
0,3,1,0,1,1,200
34,1,1,93,2,0,70
17,1,1,64,1,1,90
25,1,11,330,1,1,140
2,1,1,0,0,0,60
41,2,2,342,4,1,125
14,1,6,121,2,0,49
1,1,1,0,0,1,125
0,5,3,0,0,0,45
186,1,4,199,1,0,65
0,5,1,0,0,0,65
10,1,1,0,0,0,50
0,1,1,0,1,0,49
4,4,1,0,1,1,120
3,1,1,365,1,0,125
2,1,3,0,1,1,150
32,3,2,141,0,1,200
0,3,1,0,1,1,144
2,4,1,0,0,1,135
80,2,1,350,2,0,90
0,30,2,45,0,1,120
17,2,1,3,0,1,160
0,30,232,330,1,1,314
53,2,1,8,0,0,54
0,3,2,311,0,0,50
1,2,1,266,2,1,275
33,1,1,19,1,0,68
23,1,2,364,0,2,50
4,2,1,0,0,1,125
19,2,1,198,0,0,75
0,1,3,330,0,0,100
18,3,1,0,1,1,130
4,1,1,0,2,1,100
1,3,1,125,0,1,270
6,7,1,0,0,0,48
123,2,3,59,1,0,130
0,3,1,0,0,1,200
2,1,1,249,0,0,43
0,1,1,83,4,0,60
34,4,2,340,0,1,130
11,2,1,0,1,1,275
22,1,1,130,2,1,79
22,1,2,236,0,0,48
38,3,3,302,1,1,450
4,3,1,108,1,1,639
9,2,1,0,1,0,40
4,1,1,71,0,0,51
5,3,1,281,0,0,52
6,1,2,323,0,0,65
0,30,65,326,1,1,188
3,1,1,0,0,0,120
35,2,5,235,2,0,58
1,14,2,0,0,0,60
30,2,3,3,1,0,115
0,1,1,43,1,1,199
4,5,1,0,0,1,290
2,30,121,365,1,1,275
4,1,1,341,0,0,60
1,1,7,350,0,0,60
57,1,2,295,2,0,50
5,1,1,0,1,0,75
15,1,1,16,0,1,82
144,1,2,134,2,1,150
48,3,1,0,1,2,99
4,3,1,0,0,0,65
4,3,1,69,0,1,100
121,4,2,33,0,1,72
6,2,1,29,1,0,50
42,5,3,63,0,0,81
5,2,2,0,0,1,120
0,3,2,0,0,1,95
17,3,1,0,1,1,119
0,4,1,78,1,1,220
71,1,3,91,1,0,122
8,30,47,351,1,0,55
25,30,3,342,0,1,218
4,12,1,118,1,1,150
51,2,1,147,0,1,212
153,4,2,125,1,0,69
18,2,1,0,1,1,150
3,70,1,0,0,1,70
73,3,1,44,1,1,235
1,30,1,6,0,1,78
5,6,1,40,0,1,150
24,1,2,72,0,0,89
0,1,1,0,1,1,200
82,5,1,0,0,1,175
160,1,1,319,1,0,80
22,3,2,0,0,0,50
30,3,1,159,1,1,150
0,2,1,0,0,0,75
35,2,1,6,1,0,100
1,1,2,363,1,2,50
21,2,1,272,0,0,135
3,30,34,311,1,0,65
1,7,1,179,0,2,50
1,3,1,5,1,1,390
10,1,1,0,0,1,95
0,14,1,31,0,0,52
46,2,1,19,0,1,162
46,5,1,174,4,0,45
0,1,2,179,0,0,79
7,9,1,0,1,0,60
164,3,1,27,1,0,76
280,1,1,246,1,0,99
3,2,1,0,1,0,45
13,2,1,288,2,1,144
4,30,20,272,1,1,130
1,1,1,0,1,1,89
8,2,1,0,1,1,125
34,1,3,75,0,2,40
1,31,2,155,0,1,120
1,3,1,52,1,0,160
10,3,1,88,2,0,85
0,35,1,0,1,1,85
0,1,1,0,1,0,80
57,1,1,48,0,0,65
6,30,1,135,1,1,220
11,1,4,347,0,0,75
5,2,2,0,1,0,65
1,5,1,0,1,1,350
0,30,18,146,1,1,499
5,2,1,0,0,1,142
2,2,1,0,0,1,116
12,2,2,19,2,0,60
2,1,2,0,1,0,85
0,3,1,0,1,1,150
1,2,1,0,0,0,69
0,30,1,0,0,1,70
0,1,1,0,0,0,100
4,31,33,299,1,1,190
5,2,1,0,1,1,99
14,1,1,272,2,0,50
1,7,1,0,1,0,100
89,1,3,356,2,0,84
2,2,1,0,1,0,85
9,3,1,0,0,1,100
13,2,1,160,0,1,150
3,10,1,0,0,1,80
27,1,9,363,2,0,50
5,2,3,4,0,0,65
4,2,1,0,1,1,160
13,2,1,0,0,1,149
54,1,1,341,1,0,125
2,1,1,301,1,1,890
0,7,1,254,4,1,69
62,1,2,258,1,0,79
0,2,1,3,1,1,115
4,3,1,5,0,1,180
2,1,1,0,0,0,70
21,2,5,125,2,0,57
57,3,1,93,1,1,199
5,1,1,0,1,0,75
0,3,1,0,0,0,65
0,3,1,0,1,1,250
1,2,1,0,0,0,102
11,14,1,332,2,0,75
5,3,1,320,1,1,550
1,2,1,363,1,1,500
94,1,1,187,1,1,190
4,30,4,301,0,1,110
1,1,7,339,1,0,100
41,2,1,3,0,0,52
88,2,1,223,0,1,250
41,2,1,242,1,0,175
78,1,5,365,0,1,150
0,5,1,0,0,0,99
0,3,2,0,0,1,125
1,2,1,0,0,0,70
0,14,1,0,0,0,49
5,2,1,0,1,1,200
12,1,1,0,1,0,49
5,2,2,365,0,0,75
1,30,121,351,1,1,239
0,2,1,35,2,0,55
5,1,2,0,2,0,55
89,3,1,66,1,0,55
6,4,1,0,1,1,110
0,1,4,177,0,1,2000
29,3,1,15,0,0,59
31,2,1,169,2,1,115
2,3,1,0,0,1,160
2,13,1,0,1,0,37
13,3,1,0,0,1,145
1,1,3,0,0,0,80
0,21,1,0,2,1,82
6,1,1,0,4,0,50
4,3,1,0,0,1,200
53,2,1,0,1,1,160
44,3,1,64,0,1,169
31,3,1,0,0,1,210
3,2,1,158,1,1,525
6,4,1,6,0,0,50
12,3,1,0,0,1,120
1,1,8,0,1,0,84
6,3,1,1,0,1,113
6,2,1,0,1,1,200
5,10,1,0,1,1,150
1,3,1,7,1,1,350
0,2,1,2,1,1,800
0,1,2,179,2,0,159
2,2,1,0,0,1,75
1,3,1,5,1,1,140
3,2,1,0,1,0,55
0,90,1,173,1,0,80
14,2,1,0,0,0,54
15,3,1,0,0,1,350
5,1,2,31,2,0,70
1,7,6,313,0,2,25
114,2,1,314,0,1,155
19,1,3,37,1,0,115
5,1,1,0,0,0,90
35,1,2,365,0,0,50
119,2,1,0,1,1,220
4,2,1,29,1,1,190
113,1,3,288,0,0,49
4,1,1,0,0,0,57
2,4,2,0,1,0,49
10,3,1,0,1,1,900
5,3,1,362,1,1,1500
52,2,1,72,1,1,150
63,1,4,29,1,0,69
8,3,1,0,1,1,110
4,30,1,47,0,1,115
0,1,2,0,2,0,750
7,2,4,3,0,0,95
71,1,2,35,0,0,80
15,3,1,4,1,1,198
25,7,1,359,1,0,95
10,3,1,0,0,1,136
0,1,1,0,1,0,180
50,3,2,352,2,1,130
6,1,1,2,1,1,195
1,1,1,0,0,0,60
5,1,1,338,1,1,185
15,7,1,0,2,1,80
1,1,1,0,1,0,80
0,5,1,0,1,1,175
9,7,47,337,1,0,62
22,2,1,47,2,1,250
0,1,8,0,1,1,275
37,2,1,0,0,1,94
6,2,1,39,1,1,136
4,2,2,0,1,0,95
61,2,3,42,0,0,69
0,7,1,0,0,0,42
3,3,1,0,1,1,320
28,2,1,0,0,0,62
0,6,1,0,2,1,90
0,1,1,0,1,1,190
3,2,2,0,1,0,155
67,1,1,8,0,0,49
1,1,1,0,1,0,60
14,2,1,0,0,0,60
3,3,2,0,0,1,120
52,30,1,314,1,1,139
29,2,1,65,1,1,350
114,1,1,157,1,1,290
2,7,1,0,0,0,45
3,30,31,339,1,1,125
0,35,1,0,0,1,80
7,6,1,4,0,1,149
0,30,3,84,0,2,37
3,2,1,268,0,1,149
81,2,1,6,1,0,112
0,3,1,0,0,1,175
1,3,10,281,0,2,40
7,5,1,1,1,1,221
0,3,1,359,0,1,300
0,2,2,90,2,0,75
4,2,1,0,1,1,195
11,2,1,6,0,1,120
0,1,1,0,1,1,260
1,2,1,0,1,0,150
6,31,33,326,1,1,287
32,3,3,78,0,1,172
1,4,2,0,0,0,47
55,5,1,0,1,0,89
3,7,1,43,0,1,160
0,30,25,305,0,0,48
3,2,1,364,1,0,205
1,2,1,0,1,1,300
0,10,1,0,0,1,115
1,5,1,365,1,1,700
2,3,1,0,1,1,130
7,3,1,131,1,0,42
51,3,3,276,1,0,80
0,10,1,0,0,1,78
1,30,2,111,0,1,100
0,7,1,0,1,0,120
18,2,2,5,0,0,55
37,2,1,229,0,1,225
0,5,1,43,0,0,100
1,30,232,218,1,1,244
58,26,3,129,1,0,75
143,1,1,282,2,1,99
1,3,1,59,2,0,70
11,4,1,259,1,1,200
107,3,1,99,1,1,150
49,1,4,24,0,0,89
12,2,1,363,1,1,225
4,1,2,0,0,0,120
12,7,1,3,2,1,150
13,4,2,0,0,1,105
3,1,1,0,1,1,250
63,3,1,323,1,1,275
0,1,1,0,2,0,100
0,1,1,0,1,0,100
46,5,1,228,1,1,200
25,3,1,0,0,1,160
12,2,1,3,0,0,90
4,365,5,305,1,1,120
24,4,2,157,2,1,200
17,5,1,119,1,0,45
0,30,1,270,1,0,999
0,2,3,280,0,0,125
1,3,1,0,0,0,60
15,2,1,20,0,1,120
0,1,1,66,0,0,41
0,30,49,364,1,1,285
1,4,7,365,2,2,30
0,1,1,0,1,1,125
18,14,1,128,0,0,70
0,3,3,294,1,1,300
17,1,3,67,0,0,85
0,3,1,11,1,1,349
3,2,3,364,2,0,125
0,30,1,310,1,1,300
49,3,1,216,1,0,99
1,2,1,9,1,1,250
